Tick #1
Last tick 0 agents died
50/50 players still alive:
Agent #0 at (246.2254081424929, 490.86426991681896), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #1 at (323.29191648181273, 153.15096464377092), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #2 at (130.19697123095708, 236.21559856692193), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #3 at (98.63943568689119, 245.75579640904112), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #4 at (86.50696878167332, 82.97639906561936), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #5 at (470.01674365216246, 402.60697782382107), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #6 at (162.68103718354143, 425.35953673509044), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #7 at (155.16527012516545, 188.9295025536989), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #8 at (155.72329974039684, 80.83390860114885), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #9 at (184.471907618439, 193.7021337978224), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #10 at (446.47180690794335, 83.34898838050128), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #11 at (97.0548302330186, 465.08504964810703), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #12 at (411.2582813355554, 14.800172381549174), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #13 at (472.9936428070434, 325.97105914797055), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #14 at (371.6404469093681, 291.7847836481091), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #15 at (190.17637183485084, 169.23572894283575), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #16 at (353.1093663457994, 312.9815661752093), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #17 at (65.83291499614398, 347.5888566400815), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #18 at (277.3107429419194, 409.0539938195139), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #19 at (138.04181379649813, 252.24224439491496), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #20 at (79.71557095672829, 289.69356021476847), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #21 at (87.57369370331874, 66.1317936623671), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #22 at (475.43051401331076, 14.242616288298652), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #23 at (70.38698497909465, 423.28292179077425), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #24 at (128.73130441885024, 462.8372442109242), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #25 at (191.47907660336008, 344.81715283247416), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #26 at (423.4600180504134, 278.88102130938364), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #27 at (332.2796653905097, 224.87988079104488), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #28 at (9.475547867434368, 213.41154559357926), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #29 at (299.3015949489708, 328.1838007488129), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #30 at (169.35465012746954, 297.9463229110663), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #31 at (466.624129755491, 486.07006876620727), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #32 at (379.5928916282943, 85.68220237745483), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #33 at (467.15694928183797, 370.0131282176465), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #34 at (280.71323496061365, 459.6299206564129), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #35 at (431.6983718403276, 384.2132772441739), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #36 at (187.36617227473013, 133.63708740264153), 100.0/100.0 HP left, Weapon: none, Armor: none
